"customer_id","customer_count","country","state","city","zip_code","lat_long","latitude","longitude","gender","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","churn_label","churn_value","churn_score","cltv","churn_reason"
"3668-QPYBK",1,"United States","California","Los Angeles","90003","33.964131, -118.272783",33.964131,-118.272783,"Male","No","No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"Yes",1,86,3239,"Competitor made better offer"
"9237-HQITU",1,"United States","California","Los Angeles","90005","34.059281, -118.30742",34.059281,-118.307420,"Female","No","No","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.70,151.65,"Yes",1,67,2701,"Moved"
"9305-CDSKC",1,"United States","California","Los Angeles","90006","34.048013, -118.293953",34.048013,-118.293953,"Female","No","No","Yes",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.50,"Yes",1,86,5372,"Moved"
"7892-POOKP",1,"United States","California","Los Angeles","90010","34.062125, -118.315709",34.062125,-118.315709,"Female","No","Yes","Yes",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.80,3046.05,"Yes",1,84,5003,"Moved"
"0280-XJGEX",1,"United States","California","Los Angeles","90015","34.039224, -118.266293",34.039224,-118.266293,"Male","No","No","Yes",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.70,5036.30,"Yes",1,89,5340,"Competitor had better devices"
"4190-MFLUW",1,"United States","California","Los Angeles","90020","34.066367, -118.309868",34.066367,-118.309868,"Female","No","Yes","No",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.20,528.35,"Yes",1,78,5925,"Competitor offered higher download speeds"
"8779-QRDMV",1,"United States","California","Los Angeles","90022","34.02381, -118.156582",34.023810,-118.156582,"Male","Yes","No","No",1,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65,"Yes",1,100,5433,"Competitor offered more data"
"1066-JKSGK",1,"United States","California","Los Angeles","90024","34.066303, -118.435479",34.066303,-118.435479,"Male","No","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"Yes",1,92,4832,"Competitor made better offer"
"6467-CHFZW",1,"United States","California","Los Angeles","90028","34.099869, -118.326843",34.099869,-118.326843,"Male","No","Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes",1,77,5789,"Competitor had better devices"
"8665-UTDHZ",1,"United States","California","Los Angeles","90029","34.089953, -118.294824",34.089953,-118.294824,"Male","No","Yes","No",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.20,30.20,"Yes",1,97,2915,"Competitor had better devices"
