customer_id,tenure_months,contract,internet_service,tech_support,online_security,payment_method,monthly_charges,cltv,churn_value,predicted_churn,churn_probability,risk_segment
5178-LMXOP,1,Month-to-month,Fiber optic,No,No,Electronic check,95.1,5795,1,1,0.947,Very High Risk
5567-WSELE,3,Month-to-month,Fiber optic,No,No,Electronic check,94.6,3019,1,1,0.9417,Very High Risk
7216-EWTRS,1,Month-to-month,Fiber optic,No,No,Electronic check,100.8,3128,1,1,0.9413,Very High Risk
3049-SOLAY,3,Month-to-month,Fiber optic,No,No,Electronic check,95.2,4176,1,1,0.9384,Very High Risk
4826-XTSOH,1,Month-to-month,Fiber optic,No,No,Electronic check,86.05,4843,1,1,0.9345,Very High Risk
9497-QCMMS,1,Month-to-month,Fiber optic,No,No,Electronic check,93.55,5536,1,1,0.9332,Very High Risk
9300-AGZNL,1,Month-to-month,Fiber optic,No,No,Electronic check,94.0,4176,1,1,0.9316,Very High Risk
6630-UJZMY,4,Month-to-month,Fiber optic,No,No,Electronic check,83.25,5251,0,1,0.9313,Very High Risk
7024-OHCCK,2,Month-to-month,Fiber optic,No,No,Electronic check,93.85,4193,1,1,0.9312,Very High Risk
2720-WGKHP,2,Month-to-month,Fiber optic,No,No,Electronic check,94.0,5569,1,1,0.9311,Very High Risk
4424-TKOPW,2,Month-to-month,Fiber optic,No,No,Electronic check,93.85,4998,1,1,0.9308,Very High Risk
1374-DMZUI,4,Month-to-month,Fiber optic,No,No,Electronic check,94.3,5419,1,1,0.9298,Very High Risk
6861-XWTWQ,7,Month-to-month,Fiber optic,No,No,Electronic check,99.25,2487,1,1,0.9293,Very High Risk
5150-ITWWB,3,Month-to-month,Fiber optic,No,No,Electronic check,94.85,4496,0,1,0.9288,Very High Risk
8884-ADFVN,7,Month-to-month,Fiber optic,No,No,Electronic check,101.95,2016,1,1,0.9282,Very High Risk
0196-VULGZ,6,Month-to-month,Fiber optic,No,No,Electronic check,84.35,5721,1,1,0.928,Very High Risk
1400-MMYXY,3,Month-to-month,Fiber optic,No,No,Electronic check,105.9,2715,1,1,0.9276,Very High Risk
2725-KXXWT,1,Month-to-month,Fiber optic,No,No,Electronic check,90.75,5460,1,1,0.9273,Very High Risk
